m/z,z
523.2332,3
536.9088,3
620.265,3
717.2969,3
438.2588,3
505.9519,3
559.9695,3
573.645,3
657.0013,3
754.0331,3
489.2549,3
556.948,3
610.9657,3
624.6412,3
707.9975,3
805.0293,3
432.904,3
500.5971,3
554.6147,3
568.2903,3
651.6466,3
748.6784,3
491.9367,3
559.6298,3
613.6474,3
627.3229,3
710.6792,3
807.711,3
489.2549,3
556.948,3
610.9657,3
624.6412,3
707.9975,3
805.0293,3
552.6033,3
620.2964,3
674.314,3
687.9895,3
771.3458,3
868.3776,3
519.2994,3
586.9925,3
641.0101,3
654.6857,3
738.0419,3
835.0738,3
539.2424,3
606.9355,3
660.9531,3
674.6286,3
757.9849,3
855.0167,3
522.9471,3
590.6403,3
644.6579,3
658.3334,3
741.6897,3
838.7215,3
539.2424,3
606.9355,3
660.9531,3
674.6286,3
757.9849,3
855.0167,3
538.9154,3
606.6085,3
660.6261,3
674.3016,3
757.6579,3
854.6897,3
501.6205,3
569.3136,3
623.3312,3
637.0067,3
720.363,3
817.3948,3
577.6575,3
645.3506,3
699.3682,3
713.0437,3
796.4,3
893.4318,3
490.9434,3
558.6365,3
612.6541,3
626.3297,3
709.6859,3
806.7177,3
569.9638,3
637.6569,3
691.6745,3
705.3501,3
788.7063,3
885.7382,3
610.9467,3
678.6399,3
732.6575,3
746.333,3
829.6893,3
926.7211,3
530.9679,3
598.661,3
652.6786,3
666.3541,3
749.7104,3
846.7422,3
569.9638,3
637.6569,3
691.6745,3
705.3501,3
788.7063,3
885.7382,3
530.9679,3
598.661,3
652.6786,3
666.3541,3
749.7104,3
846.7422,3
579.9858,3
647.6789,3
701.6966,3
715.3721,3
798.7284,3
895.7602,3
547.9554,3
615.6485,3
669.6661,3
683.3417,3
766.698,3
863.7298,3
592.9648,3
660.6579,3
714.6755,3
728.351,3
811.7073,3
908.7391,3
599.6151,3
667.3082,3
721.3258,3
735.0013,3
818.3576,3
915.3894,3
599.6151,3
667.3082,3
721.3258,3
735.0013,3
818.3576,3
915.3894,3
642.3134,3
710.0065,3
764.0241,3
777.6996,3
861.0559,3
958.0877,3
504.9348,3
572.6279,3
626.6455,3
640.321,3
723.6773,3
820.7091,3
642.3134,3
710.0065,3
764.0241,3
777.6996,3
861.0559,3
958.0877,3
639.3629,3
707.056,3
761.0737,3
774.7492,3
858.1055,3
955.1373,3
639.3629,3
707.056,3
761.0737,3
774.7492,3
858.1055,3
955.1373,3
629.295,3
696.9881,3
751.0057,3
764.6813,3
848.0375,3
945.0694,3
590.9527,3
658.6458,3
712.6634,3
726.3389,3
809.6952,3
906.727,3
635.6631,3
703.3562,3
757.3738,3
771.0493,3
854.4056,3
951.4374,3
629.295,3
696.9881,3
751.0057,3
764.6813,3
848.0375,3
945.0694,3
680.0457,3
747.7389,3
801.7565,3
815.432,3
898.7883,3
995.8201,3
650.0203,3
717.7134,3
771.731,3
785.4065,3
868.7628,3
965.7946,3
664.6859,3
732.379,3
786.3966,3
800.0721,3
883.4284,3
980.4602,3
685.3651,3
753.0582,3
807.0758,3
820.7514,3
904.1076,3
1001.1394,3
650.0203,3
717.7134,3
771.731,3
785.4065,3
868.7628,3
965.7946,3
670.6898,3
738.383,3
792.4006,3
806.0761,3
889.4324,3
986.4642,3
704.3723,3
772.0654,3
826.083,3
839.7585,3
923.1148,3
1020.1466,3
633.6787,3
701.3718,3
755.3895,3
769.065,3
852.4213,3
949.4531,3
726.0573,3
793.7504,3
847.768,3
861.4435,3
944.7998,3
1041.8316,3
699.6979,3
767.391,3
821.4086,3
835.0842,3
918.4405,3
1015.4723,3
650.0203,3
717.7134,3
771.731,3
785.4065,3
868.7628,3
965.7946,3
722.0731,3
789.7662,3
843.7838,3
857.4593,3
940.8156,3
1037.8474,3
720.0213,3
787.7144,3
841.732,3
855.4075,3
938.7638,3
1035.7956,3
726.0573,3
793.7504,3
847.768,3
861.4435,3
944.7998,3
1041.8316,3
683.0431,3
750.7362,3
804.7538,3
818.4293,3
901.7856,3
998.8174,3
732.3321,3
800.0253,3
854.0429,3
867.7184,3
951.0747,3
1048.1065,3
683.0431,3
750.7362,3
804.7538,3
818.4293,3
901.7856,3
998.8174,3
732.3321,3
800.0253,3
854.0429,3
867.7184,3
951.0747,3
1048.1065,3
726.0573,3
793.7504,3
847.768,3
861.4435,3
944.7998,3
1041.8316,3
688.0197,3
755.7128,3
809.7304,3
823.4059,3
906.7622,3
1003.794,3
726.0573,3
793.7504,3
847.768,3
861.4435,3
944.7998,3
1041.8316,3
708.7283,3
776.4214,3
830.439,3
844.1145,3
927.4708,3
1024.5026,3
726.0573,3
793.7504,3
847.768,3
861.4435,3
944.7998,3
1041.8316,3
663.042,3
730.7351,3
784.7527,3
798.4282,3
881.7845,3
978.8163,3
738.3821,3
